last_name,first_name,birthday,gender,type,state,party,salary
Rose,John,1965-02-23,M,rep,TN,Republican,70880
Green,Mark,1964-11-08,M,rep,TN,Republican,84135
Crenshaw,Dan,1984-03-14,M,rep,TX,Republican,148266
Taylor,Van,1972-08-01,M,rep,TX,Republican,135523
Gooden,Lance,1982-12-01,M,rep,TX,Republican,116218
Fletcher,Lizzie,1975-02-13,F,rep,TX,Democrat,112968
Escobar,Veronica,1969-09-15,F,rep,TX,Democrat,98535
Roy,Chip,1972-08-07,M,rep,TX,Republican,151141
Garcia,Sylvia,1950-09-06,F,rep,TX,Democrat,142275
Allred,Colin,1983-04-15,M,rep,TX,Democrat,161786
Luria,Elaine,1975-08-15,F,rep,VA,Democrat,126024
Cline,Ben,1972-02-29,M,rep,VA,Republican,107266
Spanberger,Abigail,1979-08-07,F,rep,VA,Democrat,75210
Wexton,Jennifer,1968-05-27,F,rep,VA,Democrat,149836
Schrier,Kim,1968-08-23,F,rep,WA,Democrat,85671
Steil,Bryan,1981-03-30,M,rep,WI,Republican,118598
Miller,Carol,1950-11-04,F,rep,WV,Republican,157939
Scott,Rick,1952-12-01,M,sen,FL,Republican,104262
Braun,Mike,1954-03-24,M,sen,IN,Republican,101408
Hawley,Joshua,1979-12-31,M,sen,MO,Republican,157225
Romney,Mitt,1947-03-12,M,sen,UT,Republican,157320
Golden,Jared,1982-07-25,M,rep,ME,Democrat,85144
Keller,Fred,1965-10-23,M,rep,PA,Republican,81755
Bishop,Dan,1964-07-01,M,rep,NC,Republican,85822
Murphy,Gregory,1963-03-05,M,rep,NC,Republican,117264
Mfume,Kweisi,1948-10-24,M,rep,MD,Democrat,163944
Tiffany,Thomas,1957-12-30,M,rep,WI,Republican,109455
Garcia,Mike,1976-04-24,M,rep,CA,Republican,168704
Jacobs,Chris,1966-11-28,M,rep,NY,Republican,135062
Kelly,Mark,1964-02-21,M,sen,AZ,Democrat,106088
Lummis,Cynthia,1954-09-10,F,sen,WY,Republican,121774
Issa,Darrell,1953-11-01,M,rep,CA,Republican,72392
Sessions,Pete,1955-03-22,M,rep,TX,Republican,117955
Valadao,David,1977-04-14,M,rep,CA,Republican,109088
Tuberville,Tommy,1954-09-18,M,sen,AL,Republican,149523
Hickenlooper,John,1952-02-07,M,sen,CO,Democrat,115369
Hagerty,Bill,1959-08-14,M,sen,TN,Republican,86005
Carl,Jerry,1958-06-17,M,rep,AL,Republican,112768
Moore,Barry,1966-09-26,M,rep,AL,Republican,148578
Obernolte,Jay,1970-08-18,M,rep,CA,Republican,94733
Kim,Young,1962-10-18,F,rep,CA,Republican,104148
Steel,Michelle,1955-06-21,F,rep,CA,Republican,101793
Jacobs,Sara,1989-02-01,F,rep,CA,Democrat,142069
Boebert,Lauren,1986-12-15,F,rep,CO,Republican,95813
Cammack,Katherine,1988-02-16,F,rep,FL,Republican,157426
Franklin,C.,1964-08-23,M,rep,FL,Republican,78261
Donalds,Byron,1978-10-28,M,rep,FL,Republican,124865
Gimenez,Carlos,1954-01-17,M,rep,FL,Republican,140555
Salazar,Maria,1961-11-01,M,rep,FL,Republican,88718
Williams,Nikema,1978-07-30,F,rep,GA,Democrat,108574
Bourdeaux,Carolyn,1970-06-03,F,rep,GA,Democrat,126330
Clyde,Andrew,1963-11-22,M,rep,GA,Republican,144875
Greene,Marjorie,1974-05-27,F,rep,GA,Republican,79093
Kahele,Kaialiʻi,1974-03-28,M,rep,HI,Democrat,124921
Hinson,Ashley,1983-06-27,F,rep,IA,Republican,152129
Miller-Meeks,Mariannette,1955-09-06,F,rep,IA,Republican,111551
Feenstra,Randy,1969-01-14,M,rep,IA,Republican,156685
Newman,Marie,1964-04-13,F,rep,IL,Democrat,110608
Miller,Mary,1959-08-27,F,rep,IL,Republican,97449
Mrvan,Frank,1969-04-16,M,rep,IN,Democrat,111968
Spartz,Victoria,1978-10-06,F,rep,IN,Republican,164591
Mann,Tracey,1976-12-17,M,rep,KS,Republican,84910
LaTurner,Jacob,1988-02-17,M,rep,KS,Republican,73921
Auchincloss,Jake,1988-01-29,M,rep,MA,Democrat,77987
Meijer,Peter,1988-01-10,M,rep,MI,Republican,141977
McClain,Lisa,1966-04-07,F,rep,MI,Republican,108903
Fischbach,Michelle,1965-11-03,F,rep,MN,Republican,77302
Bush,Cori,1976-07-21,F,rep,MO,Democrat,129472
Rosendale,Matthew,1960-07-07,M,rep,MT,Republican,169727
Ross,Deborah,1963-06-20,F,rep,NC,Democrat,71612
Manning,Kathy,1956-12-03,F,rep,NC,Democrat,105950
Cawthorn,David,1995-08-01,M,rep,NC,Republican,90333
Herrell,Yvette,1964-03-16,F,rep,NM,Republican,167170
Leger Fernandez,Teresa,1959-07-01,F,rep,NM,Democrat,136518
Garbarino,Andrew,1984-09-27,M,rep,NY,Republican,77647
Malliotakis,Nicole,1980-11-11,F,rep,NY,Republican,154507
Torres,Ritchie,1988-03-12,M,rep,NY,Democrat,125716
Bowman,Jamaal,1976-04-01,M,rep,NY,Democrat,127500
Jones,Mondaire,1987-05-18,M,rep,NY,Democrat,106121
Bice,Stephanie,1973-11-11,F,rep,OK,Republican,84890
Bentz,Cliff,1952-01-12,M,rep,OR,Republican,85349
Mace,Nancy,1977-12-04,F,rep,SC,Republican,114234
Harshbarger,Diana,1960-01-01,F,rep,TN,Republican,93178
Fallon,Patrick,1967-12-19,M,rep,TX,Republican,132309
Pfluger,August,1978-12-28,M,rep,TX,Republican,126468
Jackson,Ronny,1967-05-04,M,rep,TX,Republican,74187
Nehls,Troy,1968-04-07,M,rep,TX,Republican,153108
Gonzales,Ernest,1980-10-10,M,rep,TX,Republican,98275
Van Duyne,Beth,1970-11-16,F,rep,TX,Republican,129503
Moore,Blake,1980-06-22,M,rep,UT,Republican,82312
Owens,Clarence,1951-08-02,M,rep,UT,Republican,155710
Good,Robert,1965-09-11,M,rep,VA,Republican,116090
Strickland,Marilyn,1962-09-25,F,rep,WA,Democrat,106810
Fitzgerald,Scott,1963-11-16,M,rep,WI,Republican,103614
Padilla,Alejandro,1973-03-22,M,sen,CA,Democrat,162739
Ossoff,Jon,1987-02-16,M,sen,GA,Democrat,82372
Warnock,Raphael,1969-07-23,M,sen,GA,Democrat,78145
Tenney,Claudia,1961-02-04,F,rep,NY,Republican,162155
Letlow,Julia,1981-03-16,F,rep,LA,Republican,71025
Carter,Troy,1963-10-26,M,rep,LA,Democrat,142528
Stansbury,Melanie,1979-01-31,F,rep,NM,Democrat,109374
Ellzey,Jake,1970-01-24,M,rep,TX,Republican,136909
Brown,Shontel,1975-06-24,F,rep,OH,Democrat,85282
Carey,Mike,1971-03-13,M,rep,OH,Republican,105151
